metric,value
who_network_rows,3514
who_distinct_diseases,29
who_distinct_pathogens,42
who_distinct_hosts,1180
host_vector_join_ready_rows,3399
host_vector_join_blocked_rows,0
host_vector_blocked_missing_host_tax_id_rows,0
host_vector_join_distinct_hosts,363
host_vector_join_distinct_vectors,672
disease_vector_rows,470
disease_vector_unmatched_rows,207
pathogen_vector_rows,697
pathogen_vector_unmatched_rows,330
disease_host_vector_rows,1143
pathogen_host_vector_rows,1516
diseases_with_disease_level_matches,12
diseases_with_pathogen_level_matches,12
taxonomy_caution_rows_total,51
